Title,Authors,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,No. of Pages,URL
Dubliners,James Joyce,eBook,8.55,7.99,"9781101042182
",6 February 2007,,272 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781101042182.html
Stitch 'N Bitch Crochet,Debbie Stoller,eBook,,23.99,"9780761174981
",13 February 2006,,250 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780761174981.html
Walk Into Silence,Susan McBride,eBook,,,"9781365501210
",Edition Number 1,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781365501210.html
Lord of Chaos,Robert Jordan,eBook,,12.99,"9780748115396
",16 March 2010,"Little, Brown Book Group",1056 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780748115396.html
A Wartime Christmas,Carol Rivers,eBook,,8.99,"9780857208347
",1 August 2013,,464 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857208347.html
Blood Ties,Samantha Hayes,eBook,,12.99,"9780755376605
",4 March 2010,,307 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755376605.html
Infinity Gauntlet,Jim Starlin,eBook,16.12,12.99,"9780785170655
",28 May 2014,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780785170655.html
No Way Back,M. J. Arlidge,eBook,,2.99,"9781405926959
",8 August 2016,Penguin Books Ltd,40 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405926959.html
Feel Better In 5,Dr Rangan Chatterjee,eBook,,19.99,"9780241397817
",26 December 2019,,272 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780241397817.html
Nine Perfect Strangers,Liane Moriarty,eBook,,,"9781405919470
",4 October 2018,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405919470.html
The Fishermen,Chigozie Obioma,eBook,,,"9780316338363
",14 April 2015,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780316338363.html
Escaping Destiny,Amelia Hutchins,eBook,,6.99,"9780991190928
",30 July 2015,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780991190928.html
The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,eBook,,12.99,"9780141967561
",2 October 2012,6 - 8 years old,592 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141967561.html
The Five Dysfunctions of a Team,Patrick M. Lencioni,eText,,32.99,"9780470893869
",Edition Number 1,Wiley Professional Development (P&T),240 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780470893869.html
Christmas Bells,Jennifer Chiaverini,eBook,18.85,15.99,"9780698407091
",27 October 2015,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780698407091.html
The 7 Habits Of Highly Effective Teenagers,Sean Covey,eBook,,16.99,"9780857206473
",31 March 2011,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857206473.html
Nineteen Eighty-Four,George Orwell,eBook,,10.99,"9780141919959
",29 January 2004,,400 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141919959.html
The King's Men,Nora Sakavic,eBook,,1.43,"9781310839696
",19 May 2015,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781310839696.html
,,,,,"9780061949098
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780061949098.html
I'm a T. Rex!,Dennis R. Shealy,eBook,8.79,7.99,"9780307978882
",25 April 2012,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307978882.html
,,,,,"9780230770072
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780230770072.html
Dracula,Bram Stoker,eBook,,1.45,"9780486114750
",Edition Number 1,,336 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780486114750.html
Lucy Sullivan is Getting Married,Marian Keyes,eBook,,15.99,"9781405935166
",13 July 2017,,672 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405935166.html
The Beach,Alex Garland,eBook,,15.99,"9780141941448
",5 July 2007,,448 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141941448.html
The Green Mile,Stephen King,eBook,,13.99,"9780575087309
",25 November 2010,,448 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780575087309.html
Persuasion,Jane Austen,eBook,,3.99,"9780553904567
",29 January 2008,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780553904567.html
The Crowded Grave,Martin Walker,eBook,,11.99,"9780857389572
",Edition Number 1,Quercus,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780857389572.html
Eeny Meeny,M. J. Arlidge,eBook,,15.99,"9781405914895
",8 May 2014,,464 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781405914895.html
Tao Te Ching,Lao Tzu,eBook,,10.99,"9780141922324
",1 January 2000,,192 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141922324.html
Bonk,Mary Roach,eBook,,,"9780393069211
",6 April 2009,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780393069211.html
The Cake Bible,Rose Levy Beranbaum,eBook,,42.99,"9780544859562
",Edition Number 1,,560 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780544859562.html
Midnight in the Garden of Good and Evil,John Berendt,eBook,25.70,20.99,"9780307538376
",12 May 2010,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307538376.html
A Liverpool Legacy,Anne Baker,Paperback,,27.50,"9780755399604
",Edition Number 1,GB,384 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755399604.html
The Rainmaker,John Grisham,eBook,,15.99,"9781407059198
",21 April 2010,,720 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407059198.html
